Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,lat,long
Subaru DL,33.8,4,97,67,2145,18,80,Japan,35.652832,139.839478
Volkswagen Rabbit,29.8,4,89,62,1845,15.3,80,Europe,47.162494,19.503304
Datsun 280-ZX,32.7,6,168,132,2910,11.4,80,Japan,38.293839,141.004227
Mazda RX-7 GS,23.7,3,70,100,2420,12.5,80,Japan,39.720009,140.10257
Triumph TR7 Coupe,35,4,122,88,2500,15.1,80,Europe,41.87194,12.56738
Ford Mustang Cobra,23.6,4,140,0,2905,14.3,80,US,32.361668,-86.279167
Honda Accord,32.4,4,107,72,2290,17,80,Japan,36.255486,138.266418
Plymouth Reliant,27.2,4,135,84,2490,15.7,81,US,33.193611,-117.241112
Buick Skylark,26.6,4,151,84,2635,16.4,81,US,41.676388,-86.250275
Dodge Aries Wagon (sw),25.8,4,156,92,2620,14.4,81,US,41.543056,-90.590836
Chevrolet Citation,23.5,6,173,110,2725,12.6,81,US,39.554443,-119.735558
Plymouth Reliant,30,4,135,84,2385,12.9,81,US,44.513332,-88.015831
Toyota Starlet,39.1,4,79,58,1755,16.9,81,Japan,34.49538,136.706146
Plymouth Champ,39,4,86,64,1875,16.4,81,US,32.361668,-86.279167
Honda Civic 1300,35.1,4,81,60,1760,16.1,81,Japan,35.271053,139.166321
Subaru,32.3,4,97,67,2065,17.8,81,Japan,36.237148,137.964951
Datsun 210 MPG,37,4,85,65,1975,19.4,81,Japan,26.281574,127.778633
Toyota Tercel,37.7,4,89,62,2050,17.3,81,Japan,35.817616,139.677887
Mazda GLC 4,34.1,4,91,68,1985,16,81,Japan,35.694706,139.98262
Plymouth Horizon 4,34.7,4,105,63,2215,14.9,81,US,42.095554,-79.238609
Ford Escort 4W,34.4,4,98,65,2045,16.2,81,US,38.846668,-91.948059
Ford Escort 2H,29.9,4,98,65,2380,20.7,81,US,41.392502,-81.534447
Volkswagen Jetta,33,4,105,74,2190,14.2,81,Europe,55.378051,-3.435973
Renault 18i,34.5,4,100,0,2320,15.8,81,Europe,51.165691,10.451526
Honda Prelude,33.7,4,107,75,2210,14.4,81,Japan,36.042126,139.399963
Toyota Corolla,32.4,4,108,75,2350,16.8,81,Japan,32.764233,129.872696
Datsun 200SX,32.9,4,119,100,2615,14.8,81,Japan,34.815723,135.361099
Mazda 626,31.6,4,120,74,2635,18.3,81,Japan,35.120342,138.918198
Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe,41.87194,12.56738
Saab 900s,0,4,121,110,2800,15.4,81,Europe,51.165691,10.451526
Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe,55.378051,-3.435973
Toyota Cressida,25.4,6,168,116,2900,12.6,81,Japan,34.672314,135.484802
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,Japan,32.535366,130.598663
Buick Century,22.4,6,231,110,3415,15.8,81,US,45.633331,-122.599998
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,US,42.271389,-71.798889
Ford Grenada gl,20.2,6,200,88,3060,17.1,81,US,30.455,-84.253334
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,US,32.492222,-84.940277
Chevrolet Cavalier,28,4,112,88,2605,19.6,82,US,33.466667,-81.966667
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82,US,32.361668,-86.279167
Chevrolet Cavalier 2-door,34,4,112,88,2395,18,82,US,41.763889,-88.290001
Pontiac J2000 SE Hatchback,31,4,112,85,2575,16.2,82,US,35.199165,-101.845276
Dodge Aries SE,29,4,135,84,2525,16,82,US,37.661388,-120.994446
Pontiac Phoenix,27,4,151,90,2735,18,82,US,32.907223,-96.635277
Ford Fairmont Futura,24,4,140,92,2865,16.4,82,US,33.669445,-117.823059
AMC Concord DL,23,4,151,0,3035,20.5,82,US,39.710835,-104.8125
Volkswagen Rabbit l,36,4,105,74,1980,15.3,82,Europe,51.165691,10.451526
Mazda GLC Custom l,37,4,91,68,2025,18.2,82,Japan,33.583332,130.399994
Mazda GLC Custom,31,4,91,68,1970,17.6,82,Japan,43.066666,141.350006
Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,US,27.192223,-80.243057
Mercury Lynx l,36,4,98,70,2125,17.3,82,US,31.442778,-100.450279
Nissan Stanza XE,36,4,120,88,2160,14.5,82,Japan,33.883331,130.883331
Honda Accord,36,4,107,75,2205,14.5,82,Japan,38.268223,140.869415
Toyota Corolla,34,4,108,70,2245,16.9,82,Japan,34.383331,132.449997
Honda Civic,38,4,91,67,1965,15,82,Japan,35.516666,139.699997
Honda Civic (auto),32,4,91,67,1965,15.7,82,Japan,35.011665,135.768326
Datsun 310 GX,38,4,91,67,1995,16.2,82,Japan,34.689999,135.195557
Buick Century Limited,25,6,181,110,2945,16.4,82,US,42.940933,-74.200806
Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,17,82,US,39.36834,-84.32959
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,US,34.395958,-119.521042
Ford Grenada l,22,6,232,112,2835,14.7,82,US,27.798244,-82.798462
Toyota Celica GT,32,4,144,96,2665,13.9,82,Japan,35.516666,139.699997
Dodge Charger 2.2,36,4,135,84,2370,13,82,US,27.798244,-82.798462
Chevrolet Camaro,27,4,151,90,2950,17.3,82,US,40.745255,-74.034775
Ford Mustang GL,27,4,140,86,2790,15.6,82,US,34.155834,-119.202789
Volkswagen Pickup,44,4,97,52,2130,24.6,82,Europe,51.165691,10.451526
Dodge Rampage,32,4,135,84,2295,11.6,82,US,27.798244,-82.798462
Ford Ranger,28,4,120,79,2625,18.6,82,US,40.745255,-74.034775
Chevy S-10,31,4,119,82,2720,19.4,82,US,34.155834,-119.202789
